,Unnamed: 0,pdbid,path,sort
0,0,1h9d,../DATA/db/assemblies/1h9d-assembly1.cif,s
1,1,1f4s,../DATA/db/assemblies/1f4s-assembly1.cif,s
2,2,1wto,../DATA/db/assemblies/1wto-assembly1.cif,s
3,3,1p71,../DATA/db/assemblies/1p71-assembly1.cif,s
4,4,1apl,../DATA/db/assemblies/1apl-assembly1.cif,s
5,5,1pnr,../DATA/db/assemblies/1pnr-assembly1.cif,s
6,6,1lcd,../DATA/db/assemblies/1lcd-assembly1.cif,s
7,7,1o3s,../DATA/db/assemblies/1o3s-assembly1.cif,f
8,8,1lq1,../DATA/db/assemblies/1lq1-assembly1.cif,s
9,9,1lrr,../DATA/db/assemblies/1lrr-assembly2.cif,s
10,10,1wd1,../DATA/db/assemblies/1wd1-assembly1.cif,s
11,11,1xhv,../DATA/db/assemblies/1xhv-assembly1.cif,f
12,12,1azp,../DATA/db/assemblies/1azp-assembly1.cif,s
13,13,1nlw,../DATA/db/assemblies/1nlw-assembly1.cif,s
14,14,1rxv,../DATA/db/assemblies/1rxv-assembly1.cif,f
15,15,1if1,../DATA/db/assemblies/1if1-assembly1.cif,s
16,16,1tf6,../DATA/db/assemblies/1tf6-assembly1.cif,s
17,17,1qn9,../DATA/db/assemblies/1qn9-assembly1.cif,s
18,18,2d45,../DATA/db/assemblies/2d45-assembly1.cif,s
19,19,2f8x,../DATA/db/assemblies/2f8x-assembly1.cif,s
20,20,1zqa,../DATA/db/assemblies/1zqa-assembly1.cif,d
21,21,1ca6,../DATA/db/assemblies/1ca6-assembly1.cif,s
22,22,1zs4,../DATA/db/assemblies/1zs4-assembly1.cif,s
23,23,1jkp,../DATA/db/assemblies/1jkp-assembly1.cif,s
24,24,1lcc,../DATA/db/assemblies/1lcc-assembly1.cif,s
25,25,1wtq,../DATA/db/assemblies/1wtq-assembly1.cif,s
26,26,1qrv,../DATA/db/assemblies/1qrv-assembly1.cif,f
27,27,2c7r,../DATA/db/assemblies/2c7r-assembly1.cif,s
28,28,1eyg,../DATA/db/assemblies/1eyg-assembly1.cif,d
29,29,1gt0,../DATA/db/assemblies/1gt0-assembly1.cif,s
30,30,1t39,../DATA/db/assemblies/1t39-assembly1.cif,s
31,31,2c6y,../DATA/db/assemblies/2c6y-assembly1.cif,s
32,32,2ewj,../DATA/db/assemblies/2ewj-assembly1.cif,f
33,33,1o3t,../DATA/db/assemblies/1o3t-assembly1.cif,f
34,34,1bnk,../DATA/db/assemblies/1bnk-assembly1.cif,s
35,35,1p7h,../DATA/db/assemblies/1p7h-assembly1.cif,s
36,36,1fym,../DATA/db/assemblies/1fym-assembly1.cif,s
37,37,2ddg,../DATA/db/assemblies/2ddg-assembly1.cif,f
38,38,1pyi,../DATA/db/assemblies/1pyi-assembly1.cif,s
39,39,1e3o,../DATA/db/assemblies/1e3o-assembly1.cif,f
40,40,1d1u,../DATA/db/assemblies/1d1u-assembly1.cif,d
41,41,1pji,../DATA/db/assemblies/1pji-assembly1.cif,s
42,42,1qne,../DATA/db/assemblies/1qne-assembly1.cif,s
43,43,2d5v,../DATA/db/assemblies/2d5v-assembly2.cif,s
44,44,2bjc,../DATA/db/assemblies/2bjc-assembly1.cif,s
45,45,1tf3,../DATA/db/assemblies/1tf3-assembly1.cif,s
46,46,1efa,../DATA/db/assemblies/1efa-assembly1.cif,s
47,47,1zlk,../DATA/db/assemblies/1zlk-assembly1.cif,s
48,48,1brn,../DATA/db/assemblies/1brn-assembly1.cif,d
49,49,1kb6,../DATA/db/assemblies/1kb6-assembly1.cif,s
50,50,2bnz,../DATA/db/assemblies/2bnz-assembly1.cif,f
51,51,1mjo,../DATA/db/assemblies/1mjo-assembly1.cif,s
52,52,1oct,../DATA/db/assemblies/1oct-assembly1.cif,s
53,53,1r2y,../DATA/db/assemblies/1r2y-assembly1.cif,s
54,54,1mjp,../DATA/db/assemblies/1mjp-assembly1.cif,s
55,55,1zbl,../DATA/db/assemblies/1zbl-assembly1.cif,s
56,56,1run,../DATA/db/assemblies/1run-assembly1.cif,s
57,57,1hrz,../DATA/db/assemblies/1hrz-assembly1.cif,s
58,58,2asd,../DATA/db/assemblies/2asd-assembly2.cif,d
59,59,1wtr,../DATA/db/assemblies/1wtr-assembly1.cif,s
60,60,1n39,../DATA/db/assemblies/1n39-assembly1.cif,s
61,61,1a0a,../DATA/db/assemblies/1a0a-assembly1.cif,s
62,62,1qri,../DATA/db/assemblies/1qri-assembly1.cif,s
63,63,1co0,../DATA/db/assemblies/1co0-assembly1.cif,s
64,64,1ouq,../DATA/db/assemblies/1ouq-assembly1.cif,f
65,65,1gcc,../DATA/db/assemblies/1gcc-assembly1.cif,s
66,66,1skn,../DATA/db/assemblies/1skn-assembly1.cif,s
67,67,1g4d,../DATA/db/assemblies/1g4d-assembly1.cif,s
68,68,1a02,../DATA/db/assemblies/1a02-assembly1.cif,s
69,69,1t2s,../DATA/db/assemblies/1t2s-assembly1.cif,d
70,70,1qum,../DATA/db/assemblies/1qum-assembly1.cif,d
71,71,1ozj,../DATA/db/assemblies/1ozj-assembly1.cif,s
72,72,1u1l,../DATA/db/assemblies/1u1l-assembly1.cif,d
73,73,1zzj,../DATA/db/assemblies/1zzj-assembly1.cif,d
74,74,1fiu,../DATA/db/assemblies/1fiu-assembly1.cif,f
75,75,1o3r,../DATA/db/assemblies/1o3r-assembly1.cif,f
76,76,1d02,../DATA/db/assemblies/1d02-assembly1.cif,s
77,77,1m0e,../DATA/db/assemblies/1m0e-assembly1.cif,s
78,78,1zbi,../DATA/db/assemblies/1zbi-assembly1.cif,s
79,79,1rio,../DATA/db/assemblies/1rio-assembly1.cif,s
80,80,1j5n,../DATA/db/assemblies/1j5n-assembly1.cif,s
81,81,2cgp,../DATA/db/assemblies/2cgp-assembly1.cif,f
82,82,1o4x,../DATA/db/assemblies/1o4x-assembly1.cif,s
83,83,1hlv,../DATA/db/assemblies/1hlv-assembly1.cif,s
84,84,1l2d,../DATA/db/assemblies/1l2d-assembly1.cif,s
85,85,1q3f,../DATA/db/assemblies/1q3f-assembly1.cif,s
86,86,1rz9,../DATA/db/assemblies/1rz9-assembly1.cif,s
87,87,1hjb,../DATA/db/assemblies/1hjb-assembly1.cif,s
88,88,2c22,../DATA/db/assemblies/2c22-assembly1.cif,s
89,89,1j75,../DATA/db/assemblies/1j75-assembly1.cif,s
90,90,1gd2,../DATA/db/assemblies/1gd2-assembly1.cif,s
91,91,1ign,../DATA/db/assemblies/1ign-assembly1.cif,s
92,92,1rgt,../DATA/db/assemblies/1rgt-assembly1.cif,d
93,93,1hut,../DATA/db/assemblies/1hut-assembly1.cif,d
94,94,1orp,../DATA/db/assemblies/1orp-assembly1.cif,s
95,95,1k82,../DATA/db/assemblies/1k82-assembly1.cif,s
96,96,1ku7,../DATA/db/assemblies/1ku7-assembly1.cif,s
97,97,1nwq,../DATA/db/assemblies/1nwq-assembly1.cif,s
98,98,1yfh,../DATA/db/assemblies/1yfh-assembly1.cif,s
99,99,2ex5,../DATA/db/assemblies/2ex5-assembly1.cif,s
100,100,1f4r,../DATA/db/assemblies/1f4r-assembly1.cif,s
101,101,1sxp,../DATA/db/assemblies/1sxp-assembly1.cif,f
102,102,1u1r,../DATA/db/assemblies/1u1r-assembly1.cif,d
103,103,1zm5,../DATA/db/assemblies/1zm5-assembly1.cif,d
104,104,1ttu,../DATA/db/assemblies/1ttu-assembly1.cif,s
105,105,1cqt,../DATA/db/assemblies/1cqt-assembly1.cif,s
106,106,1lli,../DATA/db/assemblies/1lli-assembly1.cif,s
107,107,1pdn,../DATA/db/assemblies/1pdn-assembly1.cif,s
108,108,1p78,../DATA/db/assemblies/1p78-assembly1.cif,s
109,109,1g38,../DATA/db/assemblies/1g38-assembly1.cif,s
110,110,1bdx,../DATA/db/assemblies/1bdx-assembly1.cif,d
111,111,1yql,../DATA/db/assemblies/1yql-assembly1.cif,s
112,112,1ubd,../DATA/db/assemblies/1ubd-assembly1.cif,s
113,113,1zqr,../DATA/db/assemblies/1zqr-assembly1.cif,f
114,114,1qzg,../DATA/db/assemblies/1qzg-assembly1.cif,d
115,115,2b0d,../DATA/db/assemblies/2b0d-assembly1.cif,s
116,116,1pjj,../DATA/db/assemblies/1pjj-assembly1.cif,s
117,117,1tsr,../DATA/db/assemblies/1tsr-assembly1.cif,s
118,118,1ph2,../DATA/db/assemblies/1ph2-assembly1.cif,d
119,119,1s97,../DATA/db/assemblies/1s97-assembly1.cif,f
120,120,1hdd,../DATA/db/assemblies/1hdd-assembly1.cif,s
121,121,1rvb,../DATA/db/assemblies/1rvb-assembly1.cif,s
122,122,1h6f,../DATA/db/assemblies/1h6f-assembly1.cif,s
123,123,1azq,../DATA/db/assemblies/1azq-assembly1.cif,s
124,124,1ca5,../DATA/db/assemblies/1ca5-assembly1.cif,s
125,125,2c2d,../DATA/db/assemblies/2c2d-assembly1.cif,f
126,126,1oj8,../DATA/db/assemblies/1oj8-assembly1.cif,d
127,127,1zqn,../DATA/db/assemblies/1zqn-assembly1.cif,f
128,128,1qrh,../DATA/db/assemblies/1qrh-assembly1.cif,s
129,129,2axy,../DATA/db/assemblies/2axy-assembly1.cif,d
130,130,1rbj,../DATA/db/assemblies/1rbj-assembly1.cif,d
131,131,2a3v,../DATA/db/assemblies/2a3v-assembly1.cif,f
132,132,1jb7,../DATA/db/assemblies/1jb7-assembly1.cif,d
133,133,1dc1,../DATA/db/assemblies/1dc1-assembly1.cif,s
134,134,1a1k,../DATA/db/assemblies/1a1k-assembly1.cif,s
135,135,1n4l,../DATA/db/assemblies/1n4l-assembly1.cif,d
136,136,1mjq,../DATA/db/assemblies/1mjq-assembly1.cif,s
137,137,1ph3,../DATA/db/assemblies/1ph3-assembly1.cif,d
138,138,1s9f,../DATA/db/assemblies/1s9f-assembly1.cif,d
139,139,1bf4,../DATA/db/assemblies/1bf4-assembly1.cif,s
140,140,1a3q,../DATA/db/assemblies/1a3q-assembly1.cif,s
141,141,1le5,../DATA/db/assemblies/1le5-assembly1.cif,s
142,142,2c7q,../DATA/db/assemblies/2c7q-assembly1.cif,s
143,143,1wd0,../DATA/db/assemblies/1wd0-assembly1.cif,s
144,144,1u1n,../DATA/db/assemblies/1u1n-assembly1.cif,d
145,145,1b8i,../DATA/db/assemblies/1b8i-assembly1.cif,s
146,146,1cyq,../DATA/db/assemblies/1cyq-assembly1.cif,s
147,147,1gji,../DATA/db/assemblies/1gji-assembly1.cif,s
148,148,1f5t,../DATA/db/assemblies/1f5t-assembly1.cif,s
149,149,2c2r,../DATA/db/assemblies/2c2r-assembly1.cif,d
150,150,1qp0,../DATA/db/assemblies/1qp0-assembly1.cif,s
151,151,1s9k,../DATA/db/assemblies/1s9k-assembly1.cif,s
152,152,1nop,../DATA/db/assemblies/1nop-assembly1.cif,d
153,153,1gxp,../DATA/db/assemblies/1gxp-assembly1.cif,s
154,154,1u8r,../DATA/db/assemblies/1u8r-assembly1.cif,s
155,155,1cma,../DATA/db/assemblies/1cma-assembly1.cif,s
156,156,1zqd,../DATA/db/assemblies/1zqd-assembly1.cif,f
157,157,1gtw,../DATA/db/assemblies/1gtw-assembly2.cif,s
158,158,1pzu,../DATA/db/assemblies/1pzu-assembly1.cif,s
159,159,2e43,../DATA/db/assemblies/2e43-assembly1.cif,s
160,160,1zqj,../DATA/db/assemblies/1zqj-assembly1.cif,d
161,161,1tdz,../DATA/db/assemblies/1tdz-assembly1.cif,s
162,162,1ckt,../DATA/db/assemblies/1ckt-assembly1.cif,s
163,163,1r4i,../DATA/db/assemblies/1r4i-assembly1.cif,s
164,164,1jk2,../DATA/db/assemblies/1jk2-assembly1.cif,s
165,165,1cit,../DATA/db/assemblies/1cit-assembly1.cif,s
166,166,1mey,../DATA/db/assemblies/1mey-assembly1.cif,s
167,167,1zme,../DATA/db/assemblies/1zme-assembly1.cif,s
168,168,1lo1,../DATA/db/assemblies/1lo1-assembly1.cif,s
169,169,2euz,../DATA/db/assemblies/2euz-assembly1.cif,s
170,170,1k8g,../DATA/db/assemblies/1k8g-assembly1.cif,d
171,171,1pm5,../DATA/db/assemblies/1pm5-assembly1.cif,s
172,172,1zql,../DATA/db/assemblies/1zql-assembly1.cif,d
173,173,1qn4,../DATA/db/assemblies/1qn4-assembly1.cif,u
174,174,1bl0,../DATA/db/assemblies/1bl0-assembly1.cif,u
175,175,2alz,../DATA/db/assemblies/2alz-assembly1.cif,u
176,176,1bhm,../DATA/db/assemblies/1bhm-assembly1.cif,u
177,177,1omh,../DATA/db/assemblies/1omh-assembly1.cif,u
178,178,1rv5,../DATA/db/assemblies/1rv5-assembly1.cif,u
179,179,2atl,../DATA/db/assemblies/2atl-assembly1.cif,u
180,180,1pp8,../DATA/db/assemblies/1pp8-assembly1.cif,u
181,181,1k78,../DATA/db/assemblies/1k78-assembly2.cif,u
182,182,2ac0,../DATA/db/assemblies/2ac0-assembly1.cif,u
183,183,1hf0,../DATA/db/assemblies/1hf0-assembly1.cif,u
184,184,1rg1,../DATA/db/assemblies/1rg1-assembly1.cif,u
185,185,1zre,../DATA/db/assemblies/1zre-assembly1.cif,u
186,186,1imh,../DATA/db/assemblies/1imh-assembly1.cif,u
187,187,1osb,../DATA/db/assemblies/1osb-assembly2.cif,u
188,188,1dsz,../DATA/db/assemblies/1dsz-assembly1.cif,u
189,189,2ata,../DATA/db/assemblies/2ata-assembly1.cif,u
190,190,1u1k,../DATA/db/assemblies/1u1k-assembly1.cif,u
191,191,1rff,../DATA/db/assemblies/1rff-assembly1.cif,u
192,192,1zg1,../DATA/db/assemblies/1zg1-assembly2.cif,u
193,193,2evi,../DATA/db/assemblies/2evi-assembly1.cif,u
194,194,1wvl,../DATA/db/assemblies/1wvl-assembly1.cif,u
195,195,1hjc,../DATA/db/assemblies/1hjc-assembly1.cif,u
196,196,1b95,../DATA/db/assemblies/1b95-assembly1.cif,u
197,197,1zqm,../DATA/db/assemblies/1zqm-assembly1.cif,u
198,198,1yfj,../DATA/db/assemblies/1yfj-assembly1.cif,u
199,199,2ayg,../DATA/db/assemblies/2ayg-assembly1.cif,u
200,200,2a0i,../DATA/db/assemblies/2a0i-assembly1.cif,u
201,201,1l1m,../DATA/db/assemblies/1l1m-assembly1.cif,u
202,202,1c9b,../DATA/db/assemblies/1c9b-assembly1.cif,u
203,203,1rys,../DATA/db/assemblies/1rys-assembly2.cif,u
204,204,1cl8,../DATA/db/assemblies/1cl8-assembly1.cif,u
205,205,1n3c,../DATA/db/assemblies/1n3c-assembly1.cif,u
206,206,1s0m,../DATA/db/assemblies/1s0m-assembly1.cif,u
207,207,10mh,../DATA/db/assemblies/10mh-assembly1.cif,u
208,208,2evf,../DATA/db/assemblies/2evf-assembly1.cif,u
209,209,2euv,../DATA/db/assemblies/2euv-assembly1.cif,u
210,210,1pvp,../DATA/db/assemblies/1pvp-assembly1.cif,u
211,211,2dp6,../DATA/db/assemblies/2dp6-assembly1.cif,u
212,212,1mow,../DATA/db/assemblies/1mow-assembly2.cif,u
213,213,2ccz,../DATA/db/assemblies/2ccz-assembly1.cif,u
214,214,1eop,../DATA/db/assemblies/1eop-assembly1.cif,u
